iter	MultiClass
659	0.2217279119
660	0.2216857447
661	0.2215679495
662	0.2214617645
663	0.2212372799
664	0.221178615
665	0.2210764318
666	0.220912983
667	0.2208218573
668	0.2207157333
669	0.2206254494
670	0.2205152406
671	0.2204483893
672	0.220341812
673	0.2202576531
674	0.2201008375
675	0.2199195404
676	0.2198415724
677	0.2197637451
678	0.2196160177
679	0.2194056184
680	0.2192887598
681	0.2191336915
682	0.2189659691
683	0.2188605332
684	0.2186982218
685	0.2186565312
686	0.2185727536
687	0.2184945358
688	0.2183742833
689	0.2182907647
690	0.21825446
691	0.2181417419
692	0.2179469832
693	0.2177420628
694	0.2175283208
695	0.2174728174
696	0.2173815642
697	0.2173264919
698	0.2172647107
699	0.2170864413
700	0.217045646
701	0.2169787315
702	0.2167901102
703	0.2166536298
704	0.2165551007
705	0.2163824784
706	0.2162384345
707	0.2161733005
708	0.2160077354
709	0.2159771101
710	0.2158306681
711	0.2156952685
712	0.215632364
713	0.2154612885
714	0.2153675827
715	0.2152349984
716	0.2151299742
717	0.215095482
718	0.2149899521
719	0.2149323226
720	0.214910502
721	0.2148015304
722	0.214682072
723	0.2145074079
724	0.214313502
725	0.2141604058
726	0.2140681091
727	0.2138884121
728	0.2138369779
729	0.2137009891
730	0.2135743176
731	0.2134197059
732	0.2132884243
733	0.2131879473
734	0.2130287287
735	0.2129305132
736	0.2128750537
737	0.2127966394
738	0.2126739669
739	0.2126021192
740	0.2125450965
741	0.2124559866
742	0.2123918329
743	0.2123189116
744	0.2122251479
745	0.2120612495
746	0.2118839338
747	0.2117042448
748	0.2114639901
749	0.2112501487
750	0.2111615918
751	0.2110705367
752	0.2109999579
753	0.2109229905
754	0.2107353815
755	0.2106304964
756	0.2105822259
757	0.2105109987
758	0.2104582722
759	0.2103994462
760	0.2102875392
761	0.210219881
762	0.2102013563
763	0.2100751703
764	0.209878691
765	0.2097264263
766	0.2096377359
767	0.2095182883
768	0.2094326308
769	0.2092960141
770	0.2092189823
771	0.2089883109
772	0.2088540982
773	0.2087216824
774	0.2086263652
775	0.2085345992
776	0.2083945447
777	0.2083416042
778	0.2081211598
779	0.2079889344
780	0.2079319236
781	0.2078642044
782	0.2076890886
783	0.20760134
784	0.2074813099
785	0.2074443124
786	0.2073318613
787	0.207256059
788	0.2070564281
789	0.2070231086
790	0.2068608887
791	0.2066943996
792	0.2065394113
793	0.206316317
794	0.2061945241
795	0.2061624361
796	0.2060355441
797	0.2058873446
798	0.2057587689
799	0.2056590164
800	0.2055652563
801	0.2054543168
802	0.2053842857
803	0.2053095738
804	0.2052669243
805	0.2051747904
806	0.2050369018
807	0.2048874983
808	0.2047549952
809	0.2046545869
810	0.2045395863
811	0.2044113158
812	0.2043161286
813	0.2041865823
814	0.204137442
815	0.2040799049
816	0.2040077326
817	0.2038446656
818	0.2038135266
819	0.2037851365
820	0.2036114081
821	0.2035464962
822	0.2034931866
823	0.2032891528
824	0.2032200491
825	0.2030588869
826	0.2029851277
827	0.202880768
828	0.2028161325
829	0.2027714657
830	0.2027368038
831	0.2025321136
832	0.2024475808
833	0.2023403287
834	0.2022656422
835	0.2022267985
836	0.2021536123
837	0.2021081245
838	0.2019213132
839	0.201848461
840	0.2017767408
841	0.2016442625
842	0.2015961521
843	0.2014221656
844	0.2012998489
845	0.201135328
846	0.2009968208
847	0.2008973354
848	0.2007744072
849	0.2006127139
850	0.2004833849
851	0.2003800783
852	0.2001946977
853	0.2001030308
854	0.2000131453
855	0.1999499431
856	0.1998749973
857	0.1998129688
858	0.1997539589
859	0.1996783391
860	0.1996035692
861	0.1994850257
862	0.1992566149
863	0.1992072535
864	0.1990023411
865	0.1988866459
866	0.1988342912
867	0.1987654946
868	0.1986686214
869	0.1985480356
870	0.1984383109
871	0.1983743613
872	0.1981969268
873	0.1980968142
874	0.1980589084
875	0.1979527448
876	0.1977802165
877	0.1976823565
878	0.1975658878
879	0.1974653222
880	0.1973656387
881	0.197275645
882	0.197137186
883	0.1970224337
884	0.1968386618
885	0.1966733385
886	0.1964707127
887	0.1963354982
888	0.1962397344
889	0.1960667099
890	0.1959882967
891	0.1959154314
892	0.1958053539
893	0.1957668075
894	0.1956522114
895	0.1955983586
896	0.195534055
897	0.1953952148
898	0.1952718525
899	0.1951828659
900	0.1950633281
901	0.1949634451
902	0.1948999918
903	0.1948185064
904	0.1946027259
905	0.1944676003
906	0.1942892442
907	0.1941815393
908	0.1941238794
909	0.193989489
910	0.1939446877
911	0.1937750897
912	0.1937339995
913	0.1935543682
914	0.1934590606
915	0.193390352
916	0.1932840593
917	0.1931609436
918	0.1930828961
919	0.1928452313
920	0.192752559
921	0.1926712805
922	0.1925478826
923	0.1924815047
924	0.19235757
925	0.1921494558
926	0.192100979
927	0.1920172793
928	0.1918509871
929	0.1917244841
930	0.1915858975
931	0.1914654787
932	0.1914291216
933	0.1913242165
934	0.1912634067
935	0.1911408787
936	0.1910917441
937	0.1909795352
938	0.1909090269
939	0.1908432512
940	0.1908115068
941	0.1906491154
942	0.1905167911
943	0.1904838243
944	0.1903200689
945	0.1901337393
946	0.1900745922
947	0.1900502223
948	0.1899271241
949	0.1898026827
950	0.1897310024
951	0.1896748065
952	0.1895804955
953	0.1895308039
954	0.1894676263
955	0.1893534663
956	0.1892419925
957	0.1892014528
958	0.1891353248
959	0.1891058277
960	0.1890244716
961	0.188972929
962	0.1889004105
963	0.1888479341
964	0.1887929189
965	0.1887277017
966	0.1886522145
967	0.1885405465
968	0.1884055528
969	0.1883596104
970	0.1882912281
971	0.1881972093
972	0.1881231889
973	0.1880398154
974	0.1878739181
975	0.187801991
976	0.1876950996
977	0.1875935631
978	0.1875199611
979	0.1874612186
980	0.1872995129
981	0.1872493159
982	0.1871698789
983	0.1869655567
984	0.1868315361
985	0.186706188
986	0.1864694087
987	0.1864284251
988	0.1863959712
989	0.1862337635
990	0.1860904446
991	0.1859583349
992	0.1858414733
993	0.1857179922
994	0.1856218239
995	0.1855227255
996	0.185498838
997	0.1853526712
998	0.1852694007
999	0.1852251188
